id,Sci-Fi,Crime,Romance,Animation,Music,Comedy,War,Horror,Film-Noir,Adventure,News,Western,Thriller,Adult,Mystery,Short,Talk-Show,Drama,Action,Documentary,Musical,History,Family,Reality-TV,Fantasy,Game-Show,Sport,Biography,title-text
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,_1 vs_ 100_ (2006) KST and SOAPnet are producing a season of 1 Day With 1 Day With is an un-scripted reality-based celebrity profile of a daytime actor for one day The show provides the audience with their first opportunity to witness real moments with their favorite actors who reveal their personal life off the set Popular daytime actor Wally Kurth Ned on General Hospital is the shows host Wally has a fresh and disarming way of interacting and communicating with his fellow actors He brings a playful and endearing quality to the show as we watch him and the guest actoractress share the day together Each episode features the two stars in a day that is unique to each guest Wally will look inside their home learn about their family explore their passions and find out about other aspirations they may have outside their acting career Its a candid spontaneous and often surprising look into the lives of daytime soap actors
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_10 Days to War_ (2008) Federal prosecutor Beth Duncan who worked on a hate crime is abducted while attending her daughters green belt ceremony Issue of race come up in this case as the team sifts through a long list of criminals with motives Eventually Jess and Nicole rescue the prosecutor but wind up killing her abductor in the process But for Beth the kidnapper is ultimately proved innocent in the original crime for which she had him convicted for
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_10 Finnish Architects_ An Outsider_s View_ (2003) A series of eight dramas to mark the fifth anniversary of the invasion of Iraq Each drama focuses on a real event that happened exactly five years ago to the day
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,_10 om te zien_ (1989) Leslie wants to join the Bisons a high society club and plans on attending an event to make sure he gets in Leslie learns that he needs a date because the Bisons are big on pairs Leslie then begins his search and finally convinces Ingrid to go with him
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,_10 Things I Hate About You_ (2009) This hit show in both senses of the term was for years Flanders weekly equivalent of the BBCs Top of the Pops but on commercial TV VTM Over time presenters came and went and some minor features too such as voting in a relatively unknown but basically it has always been a parade of Flemish and some international slightly more English - then Dutch - occasionally other language hit songs performed live indoors often in a major disco or outdoors later it was removed from the weekly schedule but tends to reoccur in summer on location at the Belgian coast
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_10 Years of Monkey Business_ (2007) Kat and Bianca Straford may be sisters but all comparisons end there Kat is an outspoken independent feminist Bianca is a social butterfly who wants nothing more to be popular even if it means bowing to the whims of people like the demanding Chastity Church The series highlights the Stratford sisters as they experience the highs and lows of high schools deal with their overprotective father and find love In Biancas case this is her friend Cameron who has a huge crush on her while Kat finds herself in an interesting relationship with school bad boy Patrick Verona
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_10-8_ Officers on Duty_ (2003) A farewell series of 3 programmes celebrating the last 10 years of the phenomenally successful Monkey Business The series has followed the day -to -day lives of apes and monkeys at one of the largest primate rescue centres in the world In todays programme we look back at the Monkey Business MEMORABLE CHARACTERS
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,_100 Deeds for Eddie McDowd_ (1999) Valero returns filling in for Layne Amante and Barnes attend a murder staged to look like suicide Jablonskis attitude gets him in trouble Rico gets an invitation to join the station boxing team and witnesses a birth A grandmother asks for help with her wayward grandson A man takes a gun into the station
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_100 Greatest Artists of Rock _ Roll_ (1998) 100 Deeds for Eddie McDowd stars a school bully who got turned into a dog by a drifter for being a bad kid He then ends up in the pound where hes adopted by the last kid he bullied From there Eddie McDowd has to perform 100 good deeds in order to become a kid again
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_100 Greatest Discoveries_ (2004) The 100 Greatest Artists of Rock  Roll was the very first installment of the long running 100 Greatest franchise for VH1 Hosted by Kevin Bacon qv the mini-series of 5 one-hour episodes counted down the 100 most influential artists according to a VH1 survey of rock stars pop stars band members musicians and producers
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_100 Moments That Rocked TV_ (2003) Bill Nye The Science Guy hosts a new series that highlights the greatest scientific discoveries of all time from the earliest time to the present day The series features nine episodes Evolution Earth Sciences Medicine Physics Astronomy Chemistry Genetics and Biology plus a wrap up episode featuring the top 10 discoveries of all time This is a fun and instructive series with a lot of historical re-creations archival footage visits to interesting scientific research facilities and interviews with present-day scientists including several Nobel laureates - all presented with the flair and humor associated with televisions Science Guy Bill Nye
22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,_1000 millones_ (2002) A joint effort of the VH1 cable network and TV Guide magazine this five-part series offered a countdown of the 100 greatest musical moments ever telecast Each episode offered 20 of those moments on a descending scale ie 100-81 80-61 etc Among the highlights represented via film and video excerpts and eyewitness recollections were the creation of MTV Michael Jacksons Moonwalk Britney Spears first appearance on Star Search the debuts of such musically oriented series as The Monkees and The Sonny and Cher Show and even such celebrated disasters as Mariah Careys strip meltdown on Total Request Live The same list appeared both on VH1 and in the pages of TV Guide though there were a few discrepancies in the rankings For example while VH1 had once rated the Beatles American debut on The Ed Sullivan Show as the number one TV musical event of all time TV Guide superseded this with Bill Clintons saxophone solo on The Arsenio Hall Show The VH1 version of 100 Moments That Rocked TV ran for five consecutive evenings beginning January 13 2003
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_1000 seconden_ (1992) Julian Vargas is a person very humid and a little vulgar loves women and very caring for his friends He is separated and lives in the Boca neighbor hood with his adopted mother and his brother He has an aunt and a cousin a little slow and friend Luis He is a workman in the dry dock of Tigre This way he earns his living and does not have high expectations of life Does not study left high school in the third year and lives his life and seducing women Carolina Marin is a neighbor of Julian and his friend since they where very young Carolina is a student in the university and she is left only one year to graduate and receive her diploma as an accountant She is an example very beautiful good very hard learning loves her father and lives for him The real father of Julian a very powerful business man is very ill and on his dieting bad he had decided to leave his in heritage his huge fortune to his son that he had never known all his businesses is 1 billion For this he heirs a lower to take care of everything The family of the father of Julin does not know that Julian exists and they are sure that all the in heritage of the 1 billion will go to them Pilar Arias is a very unparticular girl of 28 years old she had a very reach and good life only that her father a hardhearted player that she didnt see for a long time he had left her and her mother in the street this is why they had emigrated to Brazil went through lots of privations Pilar returns to Buenos Aires ready for to gain at any cost the place that they had lost long ago From one day to another Julin Vargas receives an important news his biological father whom he did not know is dying The magnate Manuel Prado Calets will leave him a Billion Dolars inheritance that will test the values of this man which only fortune they are his family and his childhood friend Carolina Marn Julin lives in a humble neighborhood with his adoptive mother his brothers Diego and Gisella and he works as an employee at the port His more valued exchequers are his friends of the neighborhood the football matches his car The Torino and his fleeting romances Unlike Julin Carolina is about to finish her carrier and works a very important holding and though she is a simple woman her ambitions always overcame to those of his friend But they share something more than the old neighborhood they were part of a former history of sweet teenager love Many people will try to separate Julin of his fortune The managers of the holding Lanari and Pilar Arias and the family Prado Calets will fight up to the end to destroy him Julin and Carolina will try to overcome the conflicts that they will be provided by this new life riddled with power interests and enemies Together they will cross a new way and will discover a great love
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,_1000cc Raw Thrill_ (2009) In this popular cooking show Herwig Van Hove an erudite outspoken and witty college professor and passionate gastronome presents a recipe for a main dish and sometimes a dessert which takes him no more then 1000 seconds hence the title circa 17minutes to prepare assisted by the popular blabbermouth-presenter Dr Steemans better known as his phony-Italian alter-ego Felice his soundboard for various tips on cooking ingredients the food business etc which continue during the tasting
25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,_101 Dalmatians_ The Series_ (1997) 1000CC Raw Thrill is a Sport-bike Lifestyle motorcycle show hosted by long time Motorcycle Industry insider Greg White and Erin Bates of AMA Supercross fame 1000cc Raw Thrill introduces and entertains the audience about the world of Sport-bike riding and all that it has to offer The show features in-studio interviews from some of the industrys top experts and riders tech tips the latest in sport-bike technology stories from around the United States and more
26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_101-kai me no puropozu_ (1991) This show acts as a mix of the Dodie Smith book 1961 animated movie and 1996 live-action movie After foiling Cruella DeVils plot to make a fur coat with the puppies skins the Dearly Family Roger and Anita Dearly Nanny Pongo Perdita their 15 birth puppies and 84 adopted puppies move to a new farm home in the country This show centers on three of Pongo and Perdys pups brave Lucky tubby Rolly and Cadpig the runt Together with their chicken friend Spot they defend their new home from Cruella DeVil Anitas boss and now new neighbor continually get in and out of trouble sneak into Grutely and have all sorts of crazy adventures around the farm Also along for the fun is Tripod Patch Two-Tone Wizzer Dipstick Mooch and the rest of their barnyard friends
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,_106 _ Park_ Prime_ (2003) A young man has problems finding his true love His brother tries to help him out but to no avail It seemed as though this man would be on the brink of major depression until he meets a beautiful young lady This drama follows their relationships and the people who surround them
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_109_ (2005) Celebrities at the prime of their lives and caareers host the spin-off series of 106  Park Top 10 Live Ongoing projects by the artists are discussed as their music acting athletic comic and intellectual talents are shown to a live audience through music videos and interviews with guests
29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,_10th Muse_ (2009) 109 is a documentary series that examines significant social and cultural trends transforming Canadian society We live in a world where national borders crumble in the face of sweeping social and cultural trends Instant communications Internet and easy travel have created a world where people and ideas move freely Cultures and trends spread around the globe at the speed of light And Perhaps because of its cultural diversity Canada finds itself at the crossroad of these vast and influential trends 109 examines how Canadian find themselves swept up by trends A road map to the social and cultural trends that affect your lives today
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_11 Cameras_ (2006) Emma Sonnet was mysteriously abducted two years ago during a summer trip to Greece while celebrating her graduation from law school Today she resurfaces just as mysteriously with a unique take on the law Upon discovering her strange and remarkable abilities she becomes torn between battling in the courtroom and dealing justice in the streets her own way as the 10th Muse
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_12 O_Clock High_ (1964) Postal mailboxes are mostly empty these days Long-distance friends and lovers have traded in their pen and ink for the ones and zeros of e-mail and the electronic hum of ten thousand web cams Computers are the new breeding ground for todays relationships Love sex loneliness fear money woes longing adultery and jealousy -- 11 CAMERAS is a voyeuristic look at human relationships and the new ways we connect to one another in the digital age
32,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,_12 stulyev_ (1977) This series chronicles the adventures--in the air and on the ground--of the men of the 918th Bombardment Group of the US Eighth Air Force First commanded by irascible General Frank Savage--and later by Colonel Joe Gallagher the son of a Pentagon General--the Group is stationed in England and flies long-range bombing missions into German-held Europe
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,_13 Weeks_ (2005) While vacationing in snowy Maine photographer Donald Powers takes a number of powerful images none more so than a lonely farmhouse framed by a bleak landscape When a beautiful woman emerges from the house Powers tries to get her to pose instead she flees into the woods Powers overtakes her and tries to force her to return but in the struggle accidentally strangles her When Powers develops the picture of the farmhouse he notices something strange - whenever he looks at the picture the woman moves closer and closer to the camera
34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,_15_Love_ (2004) 13 WEEKS is a reality show about 6 travel nurses on assignment in southern California See how these nurses work live and play Meet patients and coworkers and see their daily lives in the hospital Follow their adventures as they explore southern California Watch as they adjust to living in a beachside California mansion with 5 new roommates
35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,_1628_ (1991) 15Love is a comedy-drama about coming-of-age in a unique high-pressure environment The series follows a group of young hopefuls at the internationally renowned Cascadia Tennis Academy where they live love laugh fight cry and dream their way through adolescence
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_17 - o poveste despre destin_ (2008) In 1628 Sweden is at war with Poland A new warship called Vasa is therefore ordered to be built Two wharves compete for the right to build it one lead by Bengt Skeppsbyggare and the other lead by Bengt Btbyggare However foreign powers such as Poles and Dutch try to sabotage the construction of the ship
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,_18 _ Over_ (2005) Diana lives in a big mansion with her mother and her stepfather and dreams of becoming a musician The quarrel and the instability in the house push her in spending more time with her group of high school colleagues One of the usual nights out in the park they get in trouble with a band of drug dealers
38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,_18 Wheels of Justice_ (2000) A weekly show with a fresh young and bilingual look at the top 18 music videos according to sales charts of CDs people are buying in stores and on line the weekly radio airplay lists of the songs the DJs play over and over on your favorite stations and finally we combine those two with our own mun2 research
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,_1967 World Series_ (1967) Michael Cates is an agent for the Justice Department His assignment was to infiltrate the organization of Jacob Calder a deadly and vicious crime boss He saw Calder kill his mistress Calder was brought to trial and convicted Calder was not going to let Cates off the hook so he took a contract out on Cates The hitman missed Cates but was able to get his wife and daughter Cates boss Burton Hardesty decides that the best way for Michael to avoid Calders hitmen is for him to pose as Chance Bowman a trucker and drive all around Cates however cannot help but get involved with the lives of the people whom he meets and seems to run into people who have deals with or know Calder So as a result of this Calder gets a line on him and either sends someone to take him out or offers the bounty he placed on Cates to the people who informed him
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,_1975 World Series_ (1975) The 1967 World Series was won by the heavily favored St Louis Cardinals who had won the Series in 1964 in seven games over the stout-hearted resistance of the Boston Red Sox led by Triple Crown winner Carl Yastrzemski qv and American League Cy Young Award winner Jim Lonborg qv The seventh and deciding game was won by Hall of Fame pitcher Bob Gibson who racked up his third win in the Series and fifth-straight win going back to the 64 Series against the Yankees Adding insult to injury the amazing Gibson slugged two home runs in the seventh game putting an end to the Red Soxs Impossible Dream season
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,_1986 World Series_ (1986) The 1975 World Series between the Boston Red Sox of the American League and the Big Red Machine Cincinnatti Reds of the National League generally is considered the greatest worlds championship match-up in baseball history The Reds prevailed against the BoSox in seven games and Pete Rose qv was named Most Valuable Player
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_1990_ (1977) The 1986 World Series the 83rd playing of the modern championship series in Major League Baseball was a memorable battle between the New York Mets were making their third World Series appearance last winning it all in 1969 and totaled one-hundred eight regular season wins and the Boston Red Sox returned to the Fall Classic after an eleven year hiatus which helped to spread the legend of The Curse of the Bambino to mass public awareness
43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,_1st _ Ten_ (1984) We dont make laws we only carry them out Despite the Home Secretarys abolition of all exit visa appeals Kyle has successfully helped Doctor Vickers leave the United Kingdom but without his wife and daughter He invests his hopes in the international law which states that his family can join him provided he can attain residency status in another country However the Public Control Department are determined to exercise any legal loophole at their disposal to block Vickers efforts and in so doing put paid to Kyles interference - permanently
44,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,_2 Stupid Dogs_ (1993) Game show where contestants answer sports questions - and the episodes winner faces off to answer a Question of Great Significance on hisher specialty category to win more money and advances to the next round in a knockout tournament A spinoff of the popular UK quiz show Mastermind Kenny Mayne along with 4 panelists that are involved someway with north American sports players coaches columnists Sportscenter anchors or sometimes actors 3 or after season 1 2 contestants come to the show with a very indepth knowledge on one particular subject in the world of sports whether it be a specific team one teams season a player or just one sport in general In the first round each contestant gets 2 minutes to answer up to 20 questions from the panelists 5 per panelist In round 2 the field is narrowed down to 2 same rules apply but this time around Kenny is given 5 questions bringing in 25 questions The days winner will win prize money and an ESPN experience determined by what level in the tournament they are in when they won and are asked a question that pertains to their specialty which is insanely difficult to the average human being but not usually to that particular contestant
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_20 plus_ (1995) Due to budget cuts the Chief makes several staff reassignments Secret must deal with being unemployed Penny steps up to the plate as a full-scale secret agent and Morocco shows his chops as the new office manager Criminal starts with C
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,_20-e dekabrya_ (1981) Drama about six friends in their twenties who have known each other since secondary school and meet up weekly in their local bar There they talk about love sex career future and relationships
47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_20_20_ (1978) Set in December of 1917 after the Bolshevik revolution in Russia Lenin and the communists are making every effort to strengthen their power Lenin appoints Felix Dzerzhinsky the Commissar for Internal Affairs and the head of the All-Russian Extraordinary Commission for Combating Conter-Revolution and Sabotage Cheka It became the predecessor of GPU and KGB
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,_200 Greatest Pop Culture Icons_ (2003) Drama High The Making of a High School Musical depicts the minefields that students must navigate both on stage and off when trying out for a high school musical Who will make the cast Who has a future in performing and who doesnt Rivalries heat up between peers while egos hit rock bottom and all time highs So many star struck teens in America dream of having their moment in the spotlight When a predominantly white high school in Virginia decides to stage The Wiz - the black musical version of the Wizard of Oz - students get their chance to achieve those dreams Over 100 kids audition but only four will win the chance to star in the performance For three months ABC News followed Westfield High Schools production of The Wiz from auditions to the final performance and all the emotion in between As the production unfolds in the special viewers experience the teens struggle with friendships their parents expectations and their own deepest ambitions ABC News captures scenes of searing conflict between a son who fights for his dreams of stardom and his mother who doubts his talents During the auditions the bravado of the schools star vocalist crumbles when her mother tells her shes too overweight to have a shot at the lead And when a gifted African American teen gets his dream role his mother pressures him to sign up with the military at the height of the conflict in Iraq In every week that passes the cast is confronted with fresh and unforeseen obstacles and enlightening discoveries And when the pressure reaches its apex before opening night the teens learn a profound lesson about friendship
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_2000 Malibu Road_ (1992) You can quote them in an instant reference them with just one name and even dress up like them for Halloween In this always-expanding pop culture of ours there are plenty of stars but precious few icons On its latest edition of the acclaimed Greatest countdown series VH1 burrows into the pop personas that have made the ultimate impact names so familiar theyre recognized and revered in the worlds most far-flung spots What makes an Icon Its not enough to just be famous or to have won a couple of awards You have to pass one or more of the following criteria Do they pass the one-name test Can you dress up as them for Halloween Did they blaze a trail in pop culture Did they create a signature character in pop culture Can you quote them or their character in 10 seconds or less Did society imitate their sense of fashion Hairstyle Did SNL create a sketch satirizing them Did someone write a song about them Was or is there merchandising or paraphernalia that bears their image Can they be connected to Kevin Bacon Too large to be a 100 Greatest special VH1 will expand its reach and recognize 200 of Americas most outstanding and outrageous personalities with VH1s 200 Greatest Pop Culture Icons Each one hour episode is illustrated by celebrated artist Robert Risko and will take a fun and lighthearted look at the individuals and moments that now live immortally in American pop culture Risko accepted his first assignment from Andy Warhol and has been drawing the likenesses of hundreds of notables from the worlds of film television music and politics for over 20 years The 200 Greatest Pop Culture Icons is wide in scope accounting for television characters Gilligan and Miss Piggy cartoon crazies Bugs Bunny and Scooby Doo Hollywood heroes Rock Hudson and Jim Carrey and of course rock stars Jimi Hendrix and the Rolling Stones Hey were even throwing in the Three Stooges somewhere along the line Each will be the subject of a pithy profile thats sure to reveal new tidbits of info while reminding you of their subjects longstanding cultural significance Each will be scrutinized by awed celebrities and witty critics Along the way youll get new insights into how and why these gods and goddesses rose to the pop culture heavens Sex In the Citys Kristin Davis is your host through five nights worth of intriguing installments All-star interviews include Katie Couric Jay Leno The Osbourne Family Hugh Hefner Shania Twain Denis Leary Lisa Marie Presley William Shatner Susan Lucci Britney Spears Ringo Starr Kevin Bacon Penny Marshall and many many more Each one-hour episode is a fun and entertaining look at some of Americas favorite personalities and features exclusive interviews with Hollywood legends sports figures TV stars and musical icons It is a celebration of the people and the moments that live immortally in pop culture So there it is From Abba to Wonder Woman no there are no Zs on the list The 200 Greatest Pop Culture Icons is coming to make sense of uber fames timeless nature
50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,_20tantos_ (2002) A story of four women living together at a beach house located at 2000 Malibu Road - Jade a former prostitute trying to get out of the profession Perry a young lawyer also escaping from her past Lindsay a would-be actress trying to get the right break and Joy Lindsays two-faced manipulative sister
